ID,TIPO,COLOR_TIPO
56455,Resolución,#2ca02c
196894,Ley,#1f77b4
36657,Disposición,#bcbd22
226796,Resolución,#2ca02c
122172,Resolución,#2ca02c
248206,Decreto,#ff7f0e
160514,Ley,#1f77b4
38542,Ley,#1f77b4
102069,Ley,#1f77b4
116526,Ley,#1f77b4
48851,Ley,#1f77b4
25392,Ley,#1f77b4
18462,Ley,#1f77b4
58603,Ley,#1f77b4
76185,Ley,#1f77b4
37292,Ley,#1f77b4
19946,Ley,#1f77b4
389,Ley,#1f77b4
460,Ley,#1f77b4
8476,Decreto,#ff7f0e
589,Ley,#1f77b4
638,Ley,#1f77b4
692,Ley,#1f77b4
42701,Decreto,#ff7f0e
51323,Decreto,#ff7f0e
55190,Ley,#1f77b4
55556,Ley,#1f77b4
60016,Ley,#1f77b4
65629,Ley,#1f77b4
68137,Decreto,#ff7f0e
69045,Ley,#1f77b4
71552,Ley,#1f77b4
72946,Ley,#1f77b4
73707,Decreto,#ff7f0e
74031,Ley,#1f77b4
75465,Decreto,#ff7f0e
81258,Ley,#1f77b4
91229,Ley,#1f77b4
94385,Decreto,#ff7f0e
97698,Ley,#1f77b4
102049,Ley,#1f77b4
104875,Ley,#1f77b4
112978,Ley,#1f77b4
117467,Ley,#1f77b4
119822,Decreto,#ff7f0e
123956,Ley,#1f77b4
124231,Ley,#1f77b4
130522,Ley,#1f77b4
136125,Ley,#1f77b4
136187,Ley,#1f77b4
138931,Ley,#1f77b4
147502,Ley,#1f77b4
160781,Ley,#1f77b4
192132,Ley,#1f77b4
200638,Decreto,#ff7f0e
204228,Ley,#1f77b4
221222,Ley,#1f77b4
235275,Ley,#1f77b4
238340,Ley,#1f77b4
259940,Ley,#1f77b4
262612,Ley,#1f77b4
263690,Decreto,#ff7f0e
263691,Ley,#1f77b4
268322,Ley,#1f77b4
269309,Ley,#1f77b4
272266,Resolución,#2ca02c
287368,Resolución,#2ca02c
305179,Ley,#1f77b4
305262,Ley,#1f77b4
305347,Ley,#1f77b4
305349,Ley,#1f77b4
305361,Decreto,#ff7f0e
308367,Resolución,#2ca02c
310241,Ley,#1f77b4
310721,Decreto,#ff7f0e
310722,Decreto,#ff7f0e
311551,Resolución,#2ca02c
314042,Decreto,#ff7f0e
261703,Resolución,#2ca02c
