ID,modificada_por,modifica_a
227881,1.0,1.0
227881,1.0,1.0
227881,1.0,1.0
227881,1.0,1.0
71,4.0,1.0
71,4.0,1.0
71,4.0,1.0
71,4.0,1.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15,107.0,20.0
15468,1.0,2.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
161,19.0,14.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
4389,31.0,10.0
6325,1.0,1.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
365,295.0,35.0
