ID,tipo_norma,fecha_sancion
227881,Decreto,1972-12-28
227881,Decreto,1972-12-28
227881,Decreto,1972-12-28
227881,Decreto,1972-12-28
71,Ley,1989-06-01
71,Ley,1989-06-01
71,Ley,1989-06-01
71,Ley,1989-06-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15,Ley,1989-09-01
15468,Resolución,1989-10-04
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
161,Ley,1989-12-07
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
4389,Decreto,1990-09-19
6325,Decreto,1991-05-30
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
365,Ley,1991-08-01
